input,target
"Bank of America is reporting me as suspected fraud on XXXX and XXXX XXXX because of that I am unable to open a checking account. I have been trying to open an account because in two years I would like to try and buy a house. That negative remark stays on your account for seven years. I wrote a letter to the Office of The President if they could stop reporting this. I was transferred to a department and the customer service rep was condescending and rude. I tried to explain my situation. I do not owe the bank any money, whatever I did wrong it was paid so they should stop reporting it.",Misinformation or clarification Issues
I am refused access to my checking account online unless I agree to a Digital Services User Agreement. Such an agreement is not necessary and has never been required before. It is an intrusion and requires me to be subject to unnecessary online contact.,Misinformation or clarification Issues
"I received a letter dated XX/XX/2020 notifying me that Wells Fargo is closing my account. No explanation was provided for their decision. I have been a Wells Fargo customer in good standing for many years. My account has sufficient funds, it has never been overdrawn and there has never been suspicious activity of any kind on my account. Wells Fargo Customer Service is unable to provide a reason for the closure and tells me that nothing can be done to reverse the decision. I receive direct deposits from my employer to this account and have autopayments set up for all of my bills. I'll now be forced to spend endless hours transferring my deposits and bill payments to another bank. I'm extremely frustrated that I can't get an explanation, and am quite perturbed by this situation.",Misinformation or clarification Issues
"My XXXX XXXX ( via XXXX XXXX  ) has sent a {$600.00} payment to XXXXXXXX XXXX ( TCF Bank ) on XX/XX/XXXX. As of XX/XX/XXXX, XXXX XXXX has not received the money. XXXX XXXX has contacted TCF Bank several times and TCF claims no funds are being withheld. I have paid the {$600.00} to XXXX XXXX in my XXXX billing cycle. I have contacted XXXX XXXX  numerous times in which they claim the {$600.00} has been sent. Attached are two letters. One from XXXX XXXX stating that they sent the {$600.00} and a letter from XXXX XXXX stating they have not yet received the money.",Misinformation or clarification Issues
"Citi bank closed my account around XX/XX/2020. I had checking and saving account with balance over 80k. After I filed previous complaint at CFPB, They sent me only XXXX and refusing to release the rest of the money and refusing to discuss this matter with me. With over 100 calls and no one from Citi is able to tell what is the issue. This is complete abuse of power from the banking industry. There have been zero communication regarding this matter. They restricted my online access so Im not able to see my statement and refuse to mail them to me as well Previouse case # XXXX",Misinformation or clarification Issues
"XX/XX/XXXX XXXX charge {$120.00} XX/XX/XXXX XXXX  {$15.00} Other charges that my bank made me aware of equaling {$170.00} Spoke to XXXX, XXXX, XXXX, XXXX, and XXXX. XXXX stated that I would have the funds in a few days. I filed the paperwork on XX/XX/2018, Fraud Department is unable to reach me. But is unable to as because of my funds being negative I was unable to pay my cell phone bill.",Misinformation or clarification Issues
"Every 2 weeks I have to call this bank, it's absolute inconvenience to have the same fraud alert all I am doing paying bills and ordering groceries, their are no disputes on my account. I submitted a complaint 2 weeks ago for the same EXACT scenario, I was promised this wouldn't happen again and here we are again another inconvenience, why are these alerts and flags all of sudden placed on my account? No one has any accurate answers!",Misinformation or clarification Issues
"I received an overdraft charge of {$35.00} for a transactions made on XX/XX/XXXX. But at no time on that date was my account in a negative balance. 

Bank of the West has a history of manipulating account date to extract the most in overdraft fees ; in XXXX, the bank agreed to settle a class action suit for over-collecting overdrafts for {$18.00} XXXX dollars.",Misinformation or clarification Issues
Unauthorized amounts were drafted from my checking account on XX/XX/XXXX and XX/XX/XXXX both in the amount of {$1000.00} totaling {$2000.00}. The reason it went as long as it did was because I was working away from home. When I realized what was happening I contacted XXXX ( XXXX XXXX XXXX XXXX XXXX ) by phone on XX/XX/XXXX and complained. I then sent a letter to them on XX/XX/XXXX explaining the situation and what had happened. I got a returned letter that said request denied. Without any approval from me XXXX not only extended the duration of a policy for me but increased the premiums over ten times the previously agreed upon amount.,Misinformation or clarification Issues
On XX/XX/XXXX I checked my Card.com account and notice {$940.00} was withdrawn from my account. I called Card.com and had my card canceled and ordered another one. I disputed the charges on XX/XX/XXXX I filed a police report with XXXX XXXX XXXX Police Department case # XXXX to assist in the investigation. I feel that there will not be a thoroughly investigation. Cameras are at the location of the crime so it should be an easy investigation. Just get the camera footage. Please help!,Misinformation or clarification Issues
I ordered my XXXX  report and it indicated that I still have an open checking account with TD Bank. I contacted TD Bank and they confirmed that I do not have any open checking accounts with a balance. They informed me that I need to contact XXXX in order to get the information updated and/or removed. The date it was reported was XX/XX/XXXX. The closure status says : NOT REPORTED. The amount is for {$590.00}. I paid this account off in full in XX/XX/XXXX.,Misinformation or clarification Issues
"I was charged {$30.00} for excessive withdrawal fee from my savings account by Bank of America. When I called the Customer Care Representative she told me that the charge will not be waved because Federal law authorize them to charge {$10.00} for any withdrawal above 6 times in a month. I was surprised because I called Bank of America Agent before the transfer and was told that it was my sixth transfer and that I will be charged if I transfer money more than six times from my Savings account in a month. I expected to be notified of any excessive withdrawal, but this was not done until the charge went up to three times generating {$30.00}. This is unfair. I need the {$30.00} refunded to my account.",Misinformation or clarification Issues
"My tax refunds were deposited into another bank account at my current bank Wells Fargo. This happened on between XXXX XXXX through XXXX XXXX of XXXX. Both returns are close to XXXX. 
I have contacted Wells Fargo several times as my taxes refunds were never deposited into my bank account. As per Wells Fargo, there is nothing that they can do. Wells Fargo refuses to take responsibility for clearing a XXXX and XXXX check that was deposited into someone 's else accounts when the checks names did not match the name of the person in which my tax refunds were deposited. 
As of XXXX/XXXX/XXXX, I have not received my tax refunds because the person took the money out of their account and Wells Fargo refuses to help me with this matter.",Misinformation or clarification Issues
"I have a hard time financially i have been overdrafting my account every week, but they Charge me fortalece every transaction i Made not only foro the one that overdfrat my account, and i hacw more thanks {$2000.00} on overdrafts fees on this year, calle them explain my situation they reverse me {$140.00} and didnt't explain anytihing now i review it they Toll me since they already make a reversal they aren't able to help me.",Misinformation or clarification Issues
M and T bank could not justify XXXX in overdraft fees in a one month period of time. The overdraft fee amount is XXXX each which would mean there would have been 72 overdraft charges to add up to XXXX. When asking for a breakdown or more information for the charges they would not give me the information. When I checked my checking account there were enough funds and the timing of the overdraft fees did not match the balance of my checking account.,Misinformation or clarification Issues
"XXXX called from XXXX XXXX this afternoon. He needed to identify me. He asked for my Mothers maiden name which I then gave him. He then asked my birthday which I then gave him. Incredibly, he asked my age!!!!!!! I repeated my birthday! Again he asked my age. Again I gave my birthday. Again he asked age! The XXXX question I have ever heard! Total incompetence! What kind of company is this? I hung up!",Misinformation or clarification Issues
"I have tried countless times to open up a bank accounts and get denied every time. On XX/XX/XXXX i requested a XXXX Report. And i was informed that Bank Of America had reported my accout for SUSPECTED FRAUAD ACTIVITY on XX/XX/XXXX, on XX/XX/XXXX me and my family was evicted and was not able to redeem our personal belongs. Shortly after our eviction i was XXXX for XXXX years, After my release i started to relize that something was not right. I contacted Bank Of America to inqure about this onging situation and was rudely accused of the SUSPECTED FRAUD ACTIVITY.",Misinformation or clarification Issues
I went in-branch to open a checking account and they assured me that they could match {$600.00} bonus offered online. XXXX XXXX  XXXX I checked via online messages and they said I qualified repeatedly. I still wanted to make doubly sure and then they said no. It seems the in-branch person was misinformed or misled me.,Misinformation or clarification Issues
"XX/XX/21 - chase debit card was stolen. 
XXXX reported fraud on my account and requested that they restore any funds withdrawn from my account without my authorization. 
XXXX reported more fraud on my account and requested that they restore any funds withdrawn from my account without my authorization. 
XXXX reported even more fraud on my account and requested that they restore any funds withdrawn from my account without my authorization. 

XXXX No funds returned to my account. Account is locked.",Misinformation or clarification Issues
"RE : CAPITAL ONE NA Claim # XXXX On XX/XX/2017, at or about XXXX XXXX, I used an ATM machine located on the lobby of CAPITAL ONE NA Bank at XXXX XXXX XXXX, XXXX, NY XXXX, tel. ( XXXX ) XXXX.The ATM ID # XXXX failed to dispense {$100.00} cash requested. The metal rolling door opened and remained opened for 3-4 seconds, but not cash was dispensed.The bank declined my claim, deducted {$100.00} from my checking account and refused to provide video footage of the transaction proving that the ATM did not dispense the cash. 

After the failed transaction, I spent 40-50 minutes in front of the ATM machine talking with customer service and file a complaint. The ATM was not used during this time.",Misinformation or clarification Issues
"Citibank froze my checking account with no warning on XX/XX/XXXX. I have called them, provided trust documents, and met with the branch manager. I need the account to be unfrozen to pay bills and access cash.",Misinformation or clarification Issues
My unemployment was going into my account and as soon as my taxes and stimulus hit the account they froze it saying there was fraudulent activity. They requested documentation of which I sent and my funds are still being held hostage. I have no access to any of my funds and I am about to be homeless. Please help! I can not get through with customer service. My account number is XXXX.,Misinformation or clarification Issues
I opened the checking account with HSBC and was approved on XX/XX/2018 under the promotion that I would receive a bonus of {$350.00} for depositing and keeping {$10000.00} for 90 days. I deposited the money on XX/XX/18 and have kept the money in it. I have fulfilled the terms and the bank didn't pay out the bonus even 4 months after meeting the terms and requirements.,Misinformation or clarification Issues
"On XX/XX/2021, my ex-husband purchased a money order from XXXX XXXX XXXX located on XXXX, AL from XXXX XXXX ( teller ) for alimony owed to me in the amount of {$550.00}. I deposited this money order on XX/XX/2021 at the XXXX, AL branch of PNC bank. PNC bank took this out of my account because they say the money order was cashed on XX/XX/2021 and it is MY FAULT FOR "" FAILING TO SECURE THE LIVE ITEM TO PREVENT IT FROM BEING TRANSACTED AGAIN ''. WHAT THE XXXX? WHY IS IT MY JOB TO SECURE A MONEY ORDER 3 DAYS AFTER I DEPOSIT IT INTO MY ACCOUNT IN THE DRIVE THROUGH? You can not go in because of covid. This has to be examined futhur. This is ridiculous. My ex is in contempt for alimony for this. My account is {$120.00} in the red because of this.",Misinformation or clarification Issues
"I went to deposit cash at the XXXX XXXX US Bank drive up ATM, I was taken through the entire deposit process. Finally as I accepted the deposit and the machine went to verify the funds, it, spit out the pictured error receipt I attached. I called the XXXX number listed on the receipt and they opened up a claim that could possibly take over a month to verify and was also told that I could possibly be offered a provisional credit in 10 days. Right now Im left with no funds to get me by and no solution from US Bank.",Misinformation or clarification Issues
BBVA COMPASS Bank keeps charging excessive fees. They count Saturdays and Sundays as a regular banking day even when they are not open. I have had several fees regarding scheduled payments on sundays and I go in and deposit on Monday and they charge a hefty NSF fee. You need to look into that for my sake and the rest of the consumers.,Misinformation or clarification Issues
"Yesterday XX/XX/XXXX the Bank of America close my checking account and my saving account without explanation just said that they closed by his own decision, all my money was there I dont have money I literally on the street without money, they took more than XXXX between my checking and saving account without explanation I not fair. The XX/XX/XXXX y just did 3 transaction : to a business account, to a medic in XXXX and one to my fianc and she was a victim too because the bank clause her account too. 
And clouse my te credit card too so this is not fair because they are damaged my credit without an explanation.",Misinformation or clarification Issues
"I opened my account around XX/XX/2018 on Citibank branch, There is a promotion : 1. Within 30 days of opening your account deposit {$15000.00} New-to-Citibank funds into the new checking and/or savings account. 
2. Maintain a minimum balance of {$15000.00} in your eligible linked checking and/or savings account for 60 days. 
3. Get {$400.00} deposited to your account I meet the requirements but didn't receive any bonuses, I called citibank, they say they can't see this promotion on my account thus couldn't verify it.",Misinformation or clarification Issues
"On XX/XX/2020 XXXX was paid to XXXX XXXX through XXXX for services that was never rendered. I contacted XXXX and was told that since it was over 120 days they could not refund the money. I was instructed to contact my bank. Bank Of America put in a claim and I was told that since XXXX was the sender of the money which came from BOA that I had contact them again and then I was told to contact you about this matter. 

Please assist me. XXXX cell or XXXX Thank You. 

XXXX XXXX",Misinformation or clarification Issues
"I deposited a money order for {$960.00}, bought through XXXX XXXX, from one of my XXXX on XX/XX/2021 into my XXXX account at Wells Fargo Bank in XXXX Colorado. On XXXX XXXX Wells Fargo sent me an E-Mail that there was a stop payment on this money order and that they were deducting {$970.00} from my account.. That include {$12.00} for returned check.. 
XXXX XXXX says this check was cashed on XXXX XXXX, Wells Fargo says no there was a stop payment on it.. 
I am out {$960.00} and do not now who to turn to in order to get my money back..",Misinformation or clarification Issues
"BBVA bought my bank, Simple, and today was supposed to be the transition. Their system is broken, Im locked out of my account, and I have been trying repeatedly to get through via phone and online and I cant get ahold of anybody.",Misinformation or clarification Issues
I am trying to set up an investment account though XXXX. PNC Bank will not communicate and has blocked access to PNC accounts not allowing their customers to invest financially through a 3rd party application.,Misinformation or clarification Issues
Capital one switched our account on Thursday XX/XX/XXXX with limited notice I received the letter in the mail the night of the XXXX and my direct deposit is scheduled for XX/XX/XXXX due to this change in account type ( same account number but different routing number ) by capital one my direct deposit is in limbo ( XXXX ),Misinformation or clarification Issues
"I opened a new account with BBVA. I received my new account/TISA disclosure when I opened the account. Approximately two weeks later I went to process an external transfer and noticed I would be charged a {$3.00} fee. I reviewed by TISA that was provided at the time I opened by account and it DID NOT disclosure this fee. By not knowing this at the time of opening my account, the Bank did not provide me sufficient information to assess my desire to continue with opening the account. This is unfair ( mis-leading ) and a deceptive practice to get people to open their account and then BANG charge them fees to access or move their money out of the Bank without proper disclosing it when the account WAS OPENED.",Misinformation or clarification Issues
XXXX / XXXX / 2017  I made purchases over the weekend that had been deducted from my account but was on hold however the purchases had shown deduction from my balance now  Citizens  bank is saying it did not reflect on my balance when in fact it did and they are charging me with  XXXX  different overdraft fees.,Misinformation or clarification Issues
On XX/XX/XXXX at XXXX EST. I looked at my Email and i got one from PayPal saying I sent someone by the name of XXXX XXXX {$1000.00} via my bank account. I immediately changed my password and added 2FA on my account. And then once I was done that I contacted PayPal support team and told them it was unauthorized activity but they denied my claim and said there was no unauthorized activity on my account that day. I asked them what they do to determine if the account had unauthorized activity or not and they completely dived the question. I opened a case for unauthorized activity and almost immediately they denied it and said there was no unauthorized activity. Ive been talking with them for the past 10 days and they wont help at all. Im just trying to get my money back.,Misinformation or clarification Issues
"I have an account that went "" dormant '' with {$50.00} in it. I am trying to close the account however they are insisting ( via electronic communication and over the phone today, XX/XX/2020 ) I need to do this in person at a branch ( closest branch is 50 miles away ). I opened this account online and have never visited a branch. 

I just want to close my account and get my {$50.00} out, and they are not making any exceptions due to COVID-19 and still insisting I put myself at risk going in person.",Misinformation or clarification Issues
"We went on the Wells Fargo Website and transferred money on XX/XX/2020 from XXXX, the money was taken from our XXXX XXXX XXXX XXXX account, however, it has not been deposited into the bank account. Wells Fargo has the funds and should be required to deposit those funds within a very short time frame. They should not be able to use money that is not theirs while assessing overdraft fees.",Misinformation or clarification Issues
"My younger sons email account was hacked by a person who has stalked and harassed me and my sons for the last three years. My sons email has been banned and he isn't able to use his account. Her name is XXXX XXXX XXXX and has hacked into all if our XXXX accounts using my direct express debit card. All of our passwords and debit card info is in my XXXX account. These unauthorized purchases have been made in the last 4 months. They were to XXXX XXXX, XXXX XXXX, and XXXX XXXX,.",Misinformation or clarification Issues
"The Discover Bank refuse to provide me a monthly statement including ONLY the transactions for that month for XXXX and XXXX ( say quarterly end ). 

They do provide monthly statement on XXXX, XXXX and XXXX, but for the XXXX statement and the anticipating XXXX statement, they include all activities in that quarter ( say it becomes a quarterly statement ). 

I asked them to provide me a monthly statement in addition to the quarterly statement. But they refused to do so.",Misinformation or clarification Issues
Back in XX/XX/2020 I requested for them to cancel my account at which time I received confirmation notice via email they would cancel service. They have not and continue charging me for the maintenance {$47.00} per month. I've sent several emails to again ask them to stop and received nothing. I've spoken directly to the company and they advised they will handle but have not. Its now going on 4 months since I requested that they stop charging my account and every month they still do. I have emails to show the communications and validation but still they charge me ... Please help,Misinformation or clarification Issues
"I opened a new checking account and use the promotion offer. I supposed to get {$300.00} after opening the account and two direct deposits of {$500.00}. After this I asked the bank multiple times why I am not getting the promotional amount. After research and multiple follow up calls, I was told that I didn't use a debit card. When I opened the account, I didn't get the debit card and the manager didn't mention to me anything about using debit card. This is clearly misleading advertisement and intentionally not disclosing all facts when I was opening the account.",Misinformation or clarification Issues
"I have an account with Bank of America. Additionally, I have XXXX  college age children with accounts at BofA, all associated under my name. My XXXX year old daughter XXXX had a number of transactions hit her account over several weeks time. The bank did not pay these out because it would put her account into an overdraft. However, the bank did assess overdraft fees on her account, putting her into overdraft. There were a total of 23 fees  assessed for {$800.00}. To make matters worse, the bank took money from my sons account, even though he had nothing to do with my daughter. So he is now short over {$870.00} in his account. I did try to reason with 6 different people at Bank of America. They will not reverse these charges. I need your help because this is wrong and unfair!",Misinformation or clarification Issues
"On XX/XX/2021, I received an unsolicited letter in the mail at my home address from "" MoneyLion ''. The envelope flap was sealed poorly and easily opened, it contains a MasterCard debit card in my name and a "" Welcome to XXXX '' single page promo. On back of the page is a "" Direct Depost Form '' with a deposit account number and routing number for an account with "" XXXX XXXX XXXX Account ) '' with a signature field, that can be detached. I believe this account was opened in my name against the Law, since I have no prior business relationship with either MoneyLion or XXXX and never applied to open deposit or credit accounts with them.",Misinformation or clarification Issues
"Hi, This complaint is against Citi bank. I opened a checking account and qualified for the promotion bonus. I completed all activities as per the rules of the promotion and now Citi bank is making me wait 30 more days which is was not as per rules. I also received email from Citi confirming that I met all the requirements and promotion bonus of {$400.00} will be deposited in one month. This email was sent to me on XX/XX/XXXX and till today I have not received the bonus money. When I called customer support they are saying I have to wait for 30 more days. Please help resolving this issue.",Misinformation or clarification Issues
"HSBC Bank requested additional information from spouse on or around XX/XX/XXXX via postal mail, which we were unable to provide in a timely manner. The account was marked as "" hold '' and unable to withdraw funds as of XX/XX/XXXX. Spouse requested for the account closure on or around XX/XX/XXXX to the escalation/fraud department. The department agreed with the request and promised to close the account and send the funds. Spouse called back on or around XX/XX/XXXX requesting a status update. HSBC confirmed that the account was closed. 

The total amount of funds is {$2700.00}. This was an electronic deposit done via their mobile app. No indication of closure has been received either via postal mail or email.",Misinformation or clarification Issues
"Received letter on account from a bank I do not do business with stating thank you for your new checking account. Account was opened XX/XX/XXXX online in my name. I Closed account with bank. Filing report with fraud department, SS and FTC.",Misinformation or clarification Issues
"XX/XX/XXXX. XXXX.The check was written for mobile deposit. And said oh its blurry and its deactivated and were going to send you a letter. When the check was actually on hold, it was sent back. All of the sudden, Im not able to use citizens bank anymore.",Misinformation or clarification Issues
"I have several transactions refunded by the merchant. They say they have not received the refund. I have provided screenshot and proof or refund. I asked them to dispute the transactions as refund not received. They won't do it. Their customer care representatives are every arrogant. They don't listen or refuse to escalate the issue. I have XXXX $ of funds they're holding up and not releasing to me. 

There is no response for complaint registered with them on XX/XX/XXXX.",Misinformation or clarification Issues
"On or about XX/XX/ 2018 Capital One removed {$1300.00} from my checking account without my consent or authorization. Despite spending many hours on the phone talking to various employees of Capital One, nobody was willing to give me any explanation for why the money was taken. I was simply told that they received a request from another bank that they couldn't refuse. The remainder of the funds in my checking account were mailed in the form of a check to my PO Box , and my account was closed. This caused a very real hardship, as I explained to Capital One that I had a flight booked that very same day to leave for vacation.",Misinformation or clarification Issues
PayPal has yet to refund my money to me. I called them and they were uninformative and stated the business has not released the refund. The email clearly states the refund has been issued and to contact the bank.,Misinformation or clarification Issues
"I have Regions bank personal checking account. After opening account for so many days also I can not : 1. Login to online banking 2. NO ATM/Debit card PIN Calling regions customer service toll free # is around 45+ minutes wait and no success even after that. 
I have no idea why Regions make it so difficult for the customers to do something like this. 
Talked to Regions bank on XXXX XX/XX/2021. No success. They sent an email to reset the ID etc ... but nothing works.",Misinformation or clarification Issues
I applied at XXXX XXXX XXXX XXXX and was denied opening an account. I was not given a reason instead I was sent a letter from XXXX XXXX XXXX in regard to account that I had with USAA which was closed by USAA without notice to me. The account status according to early warning is closed and no balances are or were owed upon the closing to the account. Since then my name and social have been submitted and I am unable to open a new account with XXXX XXXX XXXX XXXX.,Misinformation or clarification Issues
"My only issue is that my bank ( 53 Bank ) takes way to long to send current info to my linked accounts. ""  XXXX  '' for example is an instant pay Service that essentially loans money out based on hours worked, and weekly direct deposit information. However my bank was flagged by   XXXX   XXXX   for taking unusually slow compared to most banks to send updated bank info. Sometimes it 's takes until Monday after payday ( Friday ) for Fifth Third Bank to finally show my linked accounts that I have been payed from work.",Misinformation or clarification Issues
"Bank tells me my CD was redeemed in 2001, but refuses to give me any other info such as "" by who '', "" where '', "" exact date ''. I have never redeemed this CD. This comes after the bank telling me they couldn't find any info on my account, even after, what they call, an extensive search. After my first complaint, they suddenly found info on it, but only stated it was redeemed in 2001. Any and all info on MY account should be turned over to me. I am the account holder. I keep getting told to visit local branch for more info, but the local branch keeps telling me they have no more info to give.",Misinformation or clarification Issues
JP Morgan Chase closed my checking account and is holding {$15000.00} in a suspense account. I have reached out to their loss prevention team and they told me that those funds can be held up to 3 years. Not sure what will happen after that. Please help in resolving this and getting funds returned back to the account holder.,Misinformation or clarification Issues
"Coinbase, a cryptocurrency exchange, made several unauthorized withdrawals from my checking account, totaling {$850.00} on XX/XX/2019. If this action is repeated in XXXX, it may drain my checking account and/or result in overdraft fees. Please assist me with this problem. Thank you.",Misinformation or clarification Issues
BBVA USA bank app rejected a {$7500.00} online deposit after instructions to sign endorse the back of the check with captured photos of both sides. An over the {$5700.00} monthly limit alert showed and the deposit was unable to process. I telephoned XXXX XXXX employee identification number XXXX at BBVA. She was unable to raise the limit to resolve the issue. Instead I was advised to USPS mail an endorsed check. The matter was escalated with ticket number XXXX. The check and deposit are on hold pending BBVA decision regarding this matter.,Misinformation or clarification Issues
The account went into overdraft moments before closing of the business day. I rectified it before opening of the following. They slapped me with charges. This is very predatory practice as who sees the overdraft minutes before the close of the business day. I wasnt even given a full day to rectify before charging fees. This should be illegal. I have also found on their website grace period checking promotions to which I was told I had no idea what I was looking at by the agent. This bank is terrible to their members just check any social media post.,Misinformation or clarification Issues
"On XX/XX/21, i called Simmons bank 's corporate office regarding our debit cards, because it is getting close to the expiration date on our existing cards. I was told by the customer svc representative that our cards would be sent out that same week. The cards never showed up, so on XX/XX/21, i called the corporate office of Simmons Band and spoke to a customer svc representative named XXXX. I explained to her my concern that it was getting close to the expiration of our debit cards and she told me that my wife 's debit card had been sent out the previous day. As of today our debit cards have not showed up, so someone is giving us the runaround. For what reason. This is not the first time i have had to file a complaint against this financial institution.",Misinformation or clarification Issues
"I accessed my Fifth Third bank account on XX/XX/2019 at XXXX and noticed my Checking account had been closed as of XX/XX/2019. I did not initiate, authorize, or even receive any notification of my checking account being closed.",Misinformation or clarification Issues
"wells fargo savings account # XXXX. 

On XX/XX/19 {$12.00} wrongfully charged. This was a fee for depositing a check in an atm one day over the 6 month limit. 

I was told I could deposit it up to 6 months from date of check by Wells Fargo employee. But he did not tell me that I actually have one day less when I deposit it through the ATM instead of through the teller. This {$12.00} should be refunded because i was misinformed that I had one day less when using the ATM.",Misinformation or clarification Issues
"Bank of America stated that it sent a response to my complaint XXXX directly to me on XXXX. As of today XXXX I have not received it. I only received Bank of America response to my other complaint with CFPB, but not to XXXX.",Misinformation or clarification Issues
"Following a deposit through an ATM of a Chase Bank, an unathorized withdrawal of {$400.00} was allowed in my account. The image of the deposit slip shows a signature that does not math nor does it display my name. After back and forth with the bank they will credit back the amount to my account but continue to say they will not follow up with finding out who was responsible at the branch for allowing the transaction and who was the person responsible for the theft.  Chase  does not protect your private information as they should and after making their mistakes they refuse to help in anyway the situation.",Misinformation or clarification Issues
"Suntrust has used fraudulent and non-transparent 'posting dates ' to steal from me. They will remove money from the account, then return it, only to take the money back once the given charge would drop my balance below zero. This is clear theft by deception and fraud. Additionally, I have directed Suntrust to DENY any transfer that would lead to insufficient funds, yet they still chose to defraud me by ignoring this directive. Suntrust has committed theft by deception.",Misinformation or clarification Issues
Chime bank let my ex girlfriend send in Fraudulent documents change my mobile phone number to my account and withdraw funds out of my account amount up to {$3500.00} when I asked him to view the video footage atm the investigators told me no & their decision was final. I was XXXX doing the whole time these transactions were taken place I even present a document showing my XXXX  and my claim was still denied,Misinformation or clarification Issues
I am having problems with Identity Theft and someone fraudulently opened the account in my name. This bank does not have a phone number to call so I have been emailing them with no luck in them helping me. I keep getting the same automated responses back and just want to talk to someone about it. This whole thing has been extremely frustrating and now this bank doesn't seem to care if they help me or not.,Misinformation or clarification Issues
"A merchant called  XXXX  unauthorized charged our card without permission by deducting funds :  1 . Date and amount of  transaction1 :   XXXX   XXXX ,   XXXX   : {$180.00} ; {$25.00} for fee  2. Date and amount of transaction2  :  XXXX   XXXX ,   XXXX   : {$580.00} ; {$25.00} for fee We opened a dispute with  Citibank  on  XXXX    XXXX  . We had contacted Citibank no less than  20  times via  Citibank p latform, mails, including providing all the necessary documents multiple times ; however,  Citibank chose to ignore our request. This matter had been ignored by Citibank  for 9 months now.     We had no choice but to seek some help here in getting some update on this matter.",Misinformation or clarification Issues
"As XXXX XXXX,  Bank of America provided me with a Platinum Tier checking account for no charge. After I XXXX, I received no notice of a $ XXXX monthly charge that would begin to be assessed or the opportunity to change my rewards tier or close the account. I have called Bank of America customer service, and they continue to refuse to refund all of the fees. They have only refunded one month.",Misinformation or clarification Issues
