-DOCSTART- -X- O
myself -X- _ O
to -X- _ O
my -X- _ O
XXXX -X- _ O
XXXX -X- _ O
XXXX -X- _ O
XXXX -X- _ O
Account -X- _ O
ending -X- _ O
in -X- _ O
XXXX. -X- _ O
The -X- _ O
estimated -X- _ O
date -X- _ O
of -X- _ O
delivery -X- _ O
was -X- _ O
XX/XX/2019. -X- _ O
As -X- _ O
of -X- _ O
XX/XX/2019, -X- _ O
the -X- _ O
amount -X- _ O
( -X- _ O
$540.00 -X- _ B-AMOUNT
) -X- _ O
was -X- _ O
not -X- _ O
received -X- _ O
in -X- _ O
my -X- _ O
XXXX -X- _ O
XXXX -X- _ O
XXXX -X- _ O
XXXX. -X- _ O
Upon -X- _ O
talking -X- _ O
to -X- _ O
XXXX -X- _ O
Customer -X- _ O
Service, -X- _ O
they -X- _ O
advised -X- _ O
the -X- _ O
funds -X- _ O
were -X- _ O
on -X- _ O
hold -X- _ O
and -X- _ O
would -X- _ O
not -X- _ O
explain -X- _ O
why -X- _ O
nor -X- _ O
when -X- _ O
they -X- _ O
would -X- _ O
be -X- _ O
released. -X- _ O
I -X- _ O
am -X- _ O
now -X- _ O
claiming -X- _ O
theft -X- _ O
of -X- _ O
$540.00 -X- _ B-AMOUNT
by -X- _ O
XXXX -X- _ O
( -X- _ O
a -X- _ O
company -X- _ O
of -X- _ O
PayPal -X- _ O
) -X- _ O
and -X- _ O
wish -X- _ O
to -X- _ O
prosecute -X- _ O
accordingly. -X- _ O
I -X- _ O
have -X- _ O
asked -X- _ O
my -X- _ O
local -X- _ O
law -X- _ O
enforcement -X- _ O
to -X- _ O
investigate -X- _ O
and -X- _ O
prosecute -X- _ O
XXXX -X- _ O
under -X- _ O
Florida -X- _ O
law. -X- _ O

Hello, -X- _ O
I -X- _ O
am -X- _ O
Caroline -X- _ B-PER
Wilson -X- _ I-PER
and -X- _ O
I -X- _ O
am -X- _ O
inquiring -X- _ O
regarding -X- _ O
the -X- _ O
transaction -X- _ O
WXAA24733511784403 -X- _ B-ID
made -X- _ O
on -X- _ O
2021-01-19. -X- _ B-DATE
The -X- _ O
value -X- _ O
of -X- _ O
the -X- _ O
transaction -X- _ O
was -X- _ O
$71765. -X- _ B-AMOUNT
On -X- _ O
Monday, -X- _ O
the -X- _ O
XX/XX/XXXX -X- _ O
at -X- _ O
XXXX -X- _ O
XXXX -X- _ O
two -X- _ O
separate -X- _ O
charges, -X- _ O
each -X- _ O
$100.00, -X- _ B-AMOUNT
totaling -X- _ O
$200.00 -X- _ B-AMOUNT
appeared -X- _ O
on -X- _ O
my -X- _ O
bank -X- _ O
statement -X- _ O
from -X- _ O
XXXX -X- _ O
( -X- _ O
a -X- _ O
digital -X- _ O
wallet -X- _ O
company, -X- _ O
) -X- _ O
The -X- _ O
description -X- _ O
listed -X- _ O
along -X- _ O
with -X- _ O
the -X- _ O
charges -X- _ O
is -X- _ O
as -X- _ O
follows -X- _ O
: -X- _ O
XXXX -X- _ O
XXXX -X- _ O
NY. -X- _ O
I -X- _ O
have -X- _ O
never -X- _ O
heard -X- _ O
of -X- _ O
XXXX. -X- _ O
The -X- _ O
charges -X- _ O
are -X- _ O
not -X- _ O
mine. -X- _ O
XXXX -X- _ O
clearly -X- _ O
states -X- _ O
on -X- _ O
their -X- _ O
website -X- _ O
they -X- _ O
are -X- _ O
unwilling -X- _ O
to -X- _ O
assist -X- _ O
any -X- _ O
one -X- _ O
that -X- _ O
is -X- _ O
not -X- _ O
in -X- _ O
possession -X- _ O
of -X- _ O
a -X- _ O
XXXX -X- _ O
account, -X- _ O
and -X- _ O
are -X- _ O
unable -X- _ O
to -X- _ O
reimburse -X- _ O
any -X- _ O
lost -X- _ O
money -X- _ O
due -X- _ O
to -X- _ O
fraudulent -X- _ O
charges -X- _ O
made -X- _ O
by -X- _ O
their -X- _ O
users. -X- _ O
I -X- _ O
made -X- _ O
a -X- _ O
phone -X- _ O
call -X- _ O
to -X- _ O
PayPal -X- _ O
's -X- _ O
customer -X- _ O
service -X- _ O
number -X- _ O
and -X- _ O
was -X- _ O
not -X- _ O
provided -X- _ O
any -X- _ O
helpful -X- _ O
information -X- _ O
or -X- _ O
hope -X- _ O
of -X- _ O
a -X- _ O
resolution -X- _ O
to -X- _ O
this -X- _ O
issue. -X- _ O

Hello, -X- _ O
I -X- _ O
am -X- _ O
Karen -X- _ B-PER
Cortez -X- _ I-PER
and -X- _ O
I -X- _ O
am -X- _ O
inquiring -X- _ O
regarding -X- _ O
the -X- _ O
transaction -X- _ O
QFSW83390387762346 -X- _ B-ID
made -X- _ O
on -X- _ O
2021-03-25. -X- _ B-DATE
The -X- _ O
value -X- _ O
of -X- _ O
the -X- _ O
transaction -X- _ O
was -X- _ O
$38246. -X- _ B-AMOUNT
This -X- _ O
is -X- _ O
my -X- _ O
5th -X- _ O
complaint! -X- _ O
.. -X- _ O
company -X- _ O
close -X- _ O
complaint -X- _ O
each -X- _ O
time -X- _ O
without -X- _ O
answering -X- _ O
to -X- _ O
the -X- _ O
point -X- _ O
satisfactorily.. -X- _ O
looks -X- _ O
like -X- _ O
clear -X- _ O
delay -X- _ O
n -X- _ O
discourage -X- _ O
tactics.. -X- _ O
Either -X- _ O
they -X- _ O
do -X- _ O
not -X- _ O
understand -X- _ O
the -X- _ O
complaint -X- _ O
or -X- _ O
simply -X- _ O
doesnt -X- _ O
want -X- _ O
to -X- _ O
answer.. -X- _ O
My -X- _ O
personal -X- _ O
data -X- _ O
is -X- _ O
held -X- _ O
hostage -X- _ O
by -X- _ O
company -X- _ O
and -X- _ O
company -X- _ O
is -X- _ O
not -X- _ O
disclosing -X- _ O
specific -X- _ O
points -X- _ O
as -X- _ O
to -X- _ O
what -X- _ O
regulation -X- _ O
mandates -X- _ O
to -X- _ O
keep -X- _ O
personal -X- _ O
data -X- _ O
held -X- _ O
up -X- _ O
when -X- _ O
there -X- _ O
was -X- _ O
no -X- _ O
monetary -X- _ O
business -X- _ O
as -X- _ O
the -X- _ O
transaction -X- _ O
was -X- _ O
just -X- _ O
a -X- _ O
sign -X- _ O
up -X- _ O
to -X- _ O
digital -X- _ O
service.. -X- _ O
I -X- _ O
seek -X- _ O
below -X- _ O
very -X- _ O
very -X- _ O
specific -X- _ O
info -X- _ O
from -X- _ O
the -X- _ O
company -X- _ O
this -X- _ O
time. -X- _ O
I -X- _ O
do -X- _ O
not -X- _ O
need -X- _ O
timeline -X- _ O
of -X- _ O
past -X- _ O
interactions -X- _ O
directly -X- _ O
with -X- _ O
company -X- _ O
1. -X- _ O
Copy -X- _ O
of -X- _ O
terms -X- _ O
n -X- _ O
conditions -X- _ O
where -X- _ O
I -X- _ O
consented -X- _ O
2. -X- _ O
Any -X- _ O
federal -X- _ O
guidelines -X- _ O
very -X- _ O
specifically -X- _ O
asking -X- _ O
to -X- _ O
retain -X- _ O
personal -X- _ O
records -X- _ O
when -X- _ O
there -X- _ O
was -X- _ O
no -X- _ O
monetary -X- _ O
transaction? -X- _ O

Hi -X- _ O
my -X- _ O
name -X- _ O
is -X- _ O
Jamie -X- _ B-PER
Martin -X- _ I-PER
and -X- _ O
this -X- _ O
issues -X- _ O
is -X- _ O
concerning -X- _ O
the -X- _ O
transfer -X- _ O
of -X- _ O
$21225 -X- _ B-AMOUNT
on -X- _ O
2019-11-01. -X- _ B-DATE
The -X- _ O
transaction -X- _ O
id -X- _ O
is -X- _ O
SWKA57351359730830. -X- _ B-ID
I -X- _ O
purchased -X- _ O
XXXX -X- _ O
ETH -X- _ O
on -X- _ O
Coinbase -X- _ O
on -X- _ O
XX/XX/2020. -X- _ O
When -X- _ O
trying -X- _ O
to -X- _ O
transfer -X- _ O
that -X- _ O
same -X- _ O
sum -X- _ O
of -X- _ O
Ether -X- _ O
out -X- _ O
of -X- _ O
my -X- _ O
Coinbase -X- _ O
wallet -X- _ O
and -X- _ O
into -X- _ O
my -X- _ O
own -X- _ O
personal -X- _ O
wallet, -X- _ O
my -X- _ O
funds -X- _ O
were -X- _ O
unexpectedly -X- _ O
withheld -X- _ O
for -X- _ O
undisclosed -X- _ O
" -X- _ O
security -X- _ O
'' -X- _ O
reasons. -X- _ O
Even -X- _ O
after -X- _ O
completing -X- _ O
two-factor -X- _ O
verification -X- _ O
for -X- _ O
the -X- _ O
transaction, -X- _ O
I -X- _ O
received -X- _ O
a -X- _ O
message -X- _ O
saying -X- _ O
" -X- _ O
A -X- _ O
withdrawal -X- _ O
from -X- _ O
Coinbase -X- _ O
is -X- _ O
being -X- _ O
delayed -X- _ O
as -X- _ O
a -X- _ O
security -X- _ O
precaution. -X- _ O
'' -X- _ O
The -X- _ O
status -X- _ O
of -X- _ O
my -X- _ O
transaction -X- _ O
being -X- _ O
displayed -X- _ O
as -X- _ O
" -X- _ O
WAITING -X- _ O
FOR -X- _ O
CLEARING -X- _ O
''. -X- _ O
My -X- _ O
funds -X- _ O
are -X- _ O
gone -X- _ O
from -X- _ O
my -X- _ O
account, -X- _ O
but -X- _ O
they're -X- _ O
being -X- _ O
withheld -X- _ O
without -X- _ O
any -X- _ O
ETA -X- _ O
or -X- _ O
explanation. -X- _ O
Coinbase -X- _ O
support -X- _ O
has -X- _ O
been -X- _ O
useless. -X- _ O

Hello, -X- _ O
I -X- _ O
am -X- _ O
Gregory -X- _ B-PER
Martinez -X- _ I-PER
and -X- _ O
I -X- _ O
am -X- _ O
inquiring -X- _ O
regarding -X- _ O
the -X- _ O
transaction -X- _ O
GNSP06490457758428 -X- _ B-ID
made -X- _ O
on -X- _ O
2020-06-15. -X- _ B-DATE
The -X- _ O
value -X- _ O
of -X- _ O
the -X- _ O
transaction -X- _ O
was -X- _ O
$41916. -X- _ B-AMOUNT
PayPal -X- _ O
closed -X- _ O
my -X- _ O
account -X- _ O
for -X- _ O
no -X- _ O
reason -X- _ O
on -X- _ O
the -X- _ O
XXXX -X- _ O
XX/XX/2020 -X- _ O
and -X- _ O
promised -X- _ O
to -X- _ O
open -X- _ O
it -X- _ O
after -X- _ O
180days.. -X- _ O
It's -X- _ O
past -X- _ O
180days -X- _ O
and -X- _ O
they -X- _ O
are -X- _ O
not -X- _ O
helping -X- _ O
me -X- _ O
with -X- _ O
getting -X- _ O
it -X- _ O
back -X- _ O
up -X- _ O
and -X- _ O
allowing -X- _ O
me -X- _ O
use -X- _ O
my -X- _ O
balance. -X- _ O
I -X- _ O
am -X- _ O
not -X- _ O
sure -X- _ O
if -X- _ O
this -X- _ O
is -X- _ O
some -X- _ O
mistake -X- _ O
as -X- _ O
I -X- _ O
assume -X- _ O
it -X- _ O
has -X- _ O
to -X- _ O
be. -X- _ O
I -X- _ O
have -X- _ O
not -X- _ O
been -X- _ O
able -X- _ O
to -X- _ O
get -X- _ O
help -X- _ O
from -X- _ O
them -X- _ O
for -X- _ O
months -X- _ O
but -X- _ O
I -X- _ O
just -X- _ O
remembered -X- _ O
I -X- _ O
could -X- _ O
file -X- _ O
a -X- _ O
report -X- _ O
on -X- _ O
here -X- _ O
as -X- _ O
I -X- _ O
feel -X- _ O
they -X- _ O
are -X- _ O
not -X- _ O
doing -X- _ O
their -X- _ O
job -X- _ O
properly -X- _ O
and -X- _ O
it -X- _ O
is -X- _ O
effecting -X- _ O
me -X- _ O
a -X- _ O
great -X- _ O
deal -X- _ O
as -X- _ O
I -X- _ O
used -X- _ O
PayPal -X- _ O
quite -X- _ O
frequently. -X- _ O
My -X- _ O
email -X- _ O
linked -X- _ O
to -X- _ O
my -X- _ O
PayPal -X- _ O
is -X- _ O
XXXX -X- _ O
XXXX -X- _ O

Hi -X- _ O
my -X- _ O
name -X- _ O
is -X- _ O
Kathryn -X- _ B-PER
Morgan -X- _ I-PER
and -X- _ O
this -X- _ O
issues -X- _ O
is -X- _ O
concerning -X- _ O
the -X- _ O
transfer -X- _ O
of -X- _ O
$78348 -X- _ B-AMOUNT
on -X- _ O
2020-04-14. -X- _ B-DATE
The -X- _ O
transaction -X- _ O
id -X- _ O
is -X- _ O
BJPY89386518880309. -X- _ B-ID
I -X- _ O
sent -X- _ O
my -X- _ O
money -X- _ O
$15000.00 -X- _ B-AMOUNT
to -X- _ O
my -X- _ O
sister -X- _ O
's -X- _ O
account -X- _ O
at -X- _ O
XXXX -X- _ O
XXXX -X- _ O
XXXX -X- _ O
from -X- _ O
my -X- _ O
account -X- _ O
at -X- _ O
TD -X- _ O
bank -X- _ O
( -X- _ O
branch -X- _ O
Number:XXXX -X- _ O
) -X- _ O
on -X- _ O
XXXX -X- _ O
XXXX -X- _ O
2019, -X- _ O
but -X- _ O
still -X- _ O
now -X- _ O
she -X- _ O
hasn't -X- _ O
gotten -X- _ O
them -X- _ O
yet. -X- _ O
According -X- _ O
to -X- _ O
XXXX -X- _ O
XXXX -X- _ O
XXXX, -X- _ O
they -X- _ O
don't -X- _ O
even -X- _ O
get -X- _ O
a -X- _ O
data -X- _ O
for -X- _ O
sending. -X- _ O

Hi -X- _ O
my -X- _ O
name -X- _ O
is -X- _ O
Yolanda -X- _ B-PER
Livingston -X- _ I-PER
and -X- _ O
this -X- _ O
issues -X- _ O
is -X- _ O
concerning -X- _ O
the -X- _ O
transfer -X- _ O
of -X- _ O
$2253 -X- _ B-AMOUNT
on -X- _ O
2021-09-05. -X- _ B-DATE
The -X- _ O
transaction -X- _ O
id -X- _ O
is -X- _ O
LXKV22476411898319. -X- _ B-ID
I -X- _ O
was -X- _ O
brainwashed -X- _ O
and -X- _ O
scammed -X- _ O
by -X- _ O
a -X- _ O
con -X- _ O
artist -X- _ O
who -X- _ O
I -X- _ O
met -X- _ O
on -X- _ O
XXXX. -X- _ O
He -X- _ O
entangled -X- _ O
me -X- _ O
in -X- _ O
a -X- _ O
money -X- _ O
exchange -X- _ O
scheme -X- _ O
with -X- _ O
my -X- _ O
XXXX -X- _ O
and -X- _ O
Navy -X- _ O
Federal -X- _ O
accounts. -X- _ O
He -X- _ O
talked -X- _ O
with -X- _ O
me -X- _ O
everyday -X- _ O
for -X- _ O
1 -X- _ O
1/2 -X- _ O
years -X- _ O
then -X- _ O
got -X- _ O
me -X- _ O
to -X- _ O
wire -X- _ O
him -X- _ O
money -X- _ O
and -X- _ O
also -X- _ O
lied -X- _ O
about -X- _ O
money -X- _ O
he -X- _ O
transferred -X- _ O
on -X- _ O
my -X- _ O
credit -X- _ O
card. -X- _ O
It -X- _ O
ultimately -X- _ O
cost -X- _ O
me -X- _ O
~ -X- _ O
$41.00, -X- _ B-AMOUNT
XXXX -X- _ O
dollars -X- _ O
and -X- _ O
I -X- _ O
had -X- _ O
to -X- _ O
file -X- _ O
bankruptcy -X- _ O
XXXX -X- _ O
of -X- _ O
2017. -X- _ O
I -X- _ O
now -X- _ O
have -X- _ O
a -X- _ O
potential -X- _ O
for -X- _ O
fraud -X- _ O
risk -X- _ O
notation -X- _ O
on -X- _ O
my -X- _ O
consumer -X- _ O
report. -X- _ O
I -X- _ O
filed -X- _ O
a -X- _ O
police -X- _ O
report -X- _ O
and -X- _ O
had -X- _ O
to -X- _ O
subsequently -X- _ O
file -X- _ O
bankruptcy. -X- _ O
This -X- _ O
has -X- _ O
devastated -X- _ O
me -X- _ O
financially -X- _ O
and -X- _ O
emotionally. -X- _ O
I -X- _ O
never -X- _ O
thought -X- _ O
a -X- _ O
person -X- _ O
would -X- _ O
be -X- _ O
bold -X- _ O
enough -X- _ O
to -X- _ O
scam -X- _ O
or -X- _ O
be -X- _ O
dishonest -X- _ O
on -X- _ O
a -X- _ O
military -X- _ O
account. -X- _ O
I -X- _ O
feel -X- _ O
stupid, -X- _ O
ashamed -X- _ O
and -X- _ O
guilt. -X- _ O
I -X- _ O
have -X- _ O
never -X- _ O
committed -X- _ O
fraud -X- _ O
and -X- _ O
was -X- _ O
scammed -X- _ O
out -X- _ O
of -X- _ O
my -X- _ O
financial -X- _ O
future. -X- _ O

Hello, -X- _ O
I -X- _ O
am -X- _ O
Amanda -X- _ B-PER
Baker -X- _ I-PER
and -X- _ O
I -X- _ O
am -X- _ O
inquiring -X- _ O
regarding -X- _ O
the -X- _ O
transaction -X- _ O
TUQA42794874716943 -X- _ B-AMOUNT
made -X- _ O
on -X- _ O
2021-02-17. -X- _ B-DATE
The -X- _ O
value -X- _ O
of -X- _ O
the -X- _ O
transaction -X- _ O
was -X- _ O
$13078. -X- _ B-AMOUNT
I -X- _ O
initiated -X- _ O
a -X- _ O
transfer -X- _ O
of -X- _ O
USD -X- _ O
$5000.00 -X- _ B-AMOUNT
on -X- _ O
XX/XX/2017 -X- _ O
from -X- _ O
my -X- _ O
Coinbase -X- _ O
account -X- _ O
to -X- _ O
my -X- _ O
XXXX -X- _ O
XXXX -X- _ O
account. -X- _ O
The -X- _ O
funds -X- _ O
were -X- _ O
never -X- _ O
transferred. -X- _ O
I -X- _ O
have -X- _ O
had -X- _ O
at -X- _ O
least -X- _ O
4 -X- _ O
phone -X- _ O
call -X- _ O
conversations -X- _ O
with -X- _ O
Coinbase -X- _ O
's -X- _ O
customer -X- _ O
service -X- _ O
and -X- _ O
my -X- _ O
issue -X- _ O
has -X- _ O
not -X- _ O
been -X- _ O
resolved -X- _ O
after -X- _ O
3 -X- _ O
& -X- _ O
1/2 -X- _ O
months. -X- _ O
I -X- _ O
have -X- _ O
had -X- _ O
no -X- _ O
progress -X- _ O
of -X- _ O
getting -X- _ O
my -X- _ O
money -X- _ O
back -X- _ O
or -X- _ O
showing -X- _ O
that -X- _ O
Coinbase -X- _ O
is -X- _ O
even -X- _ O
interested -X- _ O
in -X- _ O
ever -X- _ O
giving -X- _ O
my -X- _ O
money -X- _ O
back. -X- _ O
No -X- _ O
actions -X- _ O
have -X- _ O
been -X- _ O
taken -X- _ O
by -X- _ O
Coinbase -X- _ O
to -X- _ O
give -X- _ O
me -X- _ O
my -X- _ O
money -X- _ O
back. -X- _ O

I'm -X- _ O
inquiring -X- _ O
regarding -X- _ O
the -X- _ O
status -X- _ O
of -X- _ O
the -X- _ O
transaction -X- _ O
RNCM38337847393361. -X- _ B-ID
My -X- _ O
name -X- _ O
is -X- _ O
Megan -X- _ B-PER
Jackson -X- _ I-PER
and -X- _ O
I -X- _ O
have -X- _ O
made -X- _ O
the -X- _ O
transaction -X- _ O
on -X- _ O
2021-09-15. -X- _ B-DATE
Coinbase.com -X- _ O
is -X- _ O
not -X- _ O
allowing -X- _ O
me -X- _ O
to -X- _ O
withdraw -X- _ O
my -X- _ O
money. -X- _ O
I -X- _ O
have -X- _ O
verified -X- _ O
my -X- _ O
identity -X- _ O
with -X- _ O
drivers -X- _ O
license -X- _ O
and -X- _ O
selfie -X- _ O
photo. -X- _ O
I -X- _ O
then -X- _ O
have -X- _ O
attempted -X- _ O
for -X- _ O
over -X- _ O
30 -X- _ O
days -X- _ O
to -X- _ O
complete -X- _ O
a -X- _ O
questionairre -X- _ O
verification. -X- _ O
When -X- _ O
I -X- _ O
complete -X- _ O
it -X- _ O
accurately -X- _ O
it -X- _ O
says -X- _ O
it -X- _ O
could -X- _ O
not -X- _ O
locate -X- _ O
my -X- _ O
id. -X- _ O
Does -X- _ O
not -X- _ O
make -X- _ O
sense. -X- _ O
I -X- _ O
want -X- _ O
to -X- _ O
withdraw -X- _ O
my -X- _ O
$4100.00 -X- _ B-AMOUNT
and -X- _ O
have -X- _ O
it -X- _ O
deposited -X- _ O
in -X- _ O
my -X- _ O
bank -X- _ O
account -X- _ O
from -X- _ O
which -X- _ O
it -X- _ O
came. -X- _ O
They -X- _ O
said -X- _ O
my -X- _ O
ticket -X- _ O
has -X- _ O
reached -X- _ O
critical -X- _ O
status -X- _ O
over -X- _ O
two -X- _ O
weeks -X- _ O
ago -X- _ O
and -X- _ O
that -X- _ O
someone -X- _ O
will -X- _ O
email -X- _ O
me. -X- _ O
No -X- _ O
one -X- _ O
has -X- _ O
reached -X- _ O
out -X- _ O
to -X- _ O
me -X- _ O
after -X- _ O
30 -X- _ O
calls -X- _ O
and -X- _ O
30 -X- _ O
emails -X- _ O
to -X- _ O
their -X- _ O
office. -X- _ O

Hi -X- _ O
my -X- _ O
name -X- _ O
is -X- _ O
Dennis -X- _ B-PER
White -X- _ I-PER
and -X- _ O
this -X- _ O
issues -X- _ O
is -X- _ O
concerning -X- _ O
the -X- _ O
transfer -X- _ O
of -X- _ O
$22967 -X- _ B-AMOUNT
on -X- _ O
2020-09-01. -X- _ B-DATE
The -X- _ O
transaction -X- _ O
id -X- _ O
is -X- _ O
LKRK28886544389064. -X- _ B-ID
On -X- _ O
XXXX -X- _ O
XXXX, -X- _ O
XXXX -X- _ O
I -X- _ O
transferred -X- _ O
XXXX -X- _ O
$ -X- _ O
( -X- _ O
two -X- _ O
deposits -X- _ O
of -X- _ O
XXXX -X- _ O
, -X- _ O
one -X- _ O
was -X- _ O
as -X- _ O
purchase -X- _ O
of -X- _ O
bitcoins -X- _ O
and -X- _ O
the -X- _ O
other -X- _ O
as -X- _ O
USD -X- _ O
) -X- _ O
from -X- _ O
my -X- _ O
XXXX -X- _ O
XXXX -X- _ O
XXXX -X- _ O
checking -X- _ O
account -X- _ O
to -X- _ O
Coinbase. -X- _ O
The -X- _ O
fund -X- _ O
was -X- _ O
made -X- _ O
available -X- _ O
to -X- _ O
my -X- _ O
Coinbase -X- _ O
account -X- _ O
on -X- _ O
XXXX -X- _ O
XXXX, -X- _ O
XXXX, -X- _ O
but -X- _ O
I -X- _ O
decided -X- _ O
to -X- _ O
transfer -X- _ O
it -X- _ O
back -X- _ O
to -X- _ O
my -X- _ O
checking -X- _ O
account. -X- _ O
I -X- _ O
made -X- _ O
two -X- _ O
transfers -X- _ O
from -X- _ O
my -X- _ O
Coinbase -X- _ O
wallet -X- _ O
to -X- _ O
my -X- _ O
bank -X- _ O
account. -X- _ O
The -X- _ O
first -X- _ O
one -X- _ O
processed, -X- _ O
but -X- _ O
the -X- _ O
second -X- _ O
one -X- _ O
of -X- _ O
XXXX -X- _ O
$ -X- _ O
was -X- _ O
cancelled -X- _ O
by -X- _ O
their -X- _ O
system -X- _ O
and -X- _ O
supposedly -X- _ O
returned -X- _ O
as -X- _ O
Coinbase -X- _ O
fund. -X- _ O
As -X- _ O
of -X- _ O
XXXX, -X- _ O
XXXX -X- _ O
XXXX, -X- _ O
the -X- _ O
XXXX -X- _ O
$ -X- _ O
is -X- _ O
neither -X- _ O
in -X- _ O
my -X- _ O
checking -X- _ O
account -X- _ O
nor -X- _ O
available -X- _ O
as -X- _ O
fund -X- _ O
on -X- _ O
Coinbase. -X- _ O
I -X- _ O
contacted -X- _ O
support -X- _ O
many -X- _ O
times, -X- _ O
but -X- _ O
the -X- _ O
only -X- _ O
time -X- _ O
I -X- _ O
got -X- _ O
a -X- _ O
reply -X- _ O
was -X- _ O
a -X- _ O
message -X- _ O
that -X- _ O
had -X- _ O
nothing -X- _ O
to -X- _ O
do -X- _ O
with -X- _ O
my -X- _ O
issue. -X- _ O

Hello, -X- _ O
I -X- _ O
am -X- _ O
Cassandra -X- _ B-PER
Williams -X- _ I-PER
and -X- _ O
I -X- _ O
am -X- _ O
inquiring -X- _ O
regarding -X- _ O
the -X- _ O
transaction -X- _ O
IRAB41616370863708 -X- _ B-ID
made -X- _ O
on -X- _ O
2019-10-18. -X- _ B-DATE
The -X- _ O
value -X- _ O
of -X- _ O
the -X- _ O
transaction -X- _ O
was -X- _ O
$49789. -X- _ B-AMOUNT
Okay -X- _ O
so -X- _ O
I -X- _ O
opened -X- _ O
a -X- _ O
dispute -X- _ O
with -X- _ O
Venmo -X- _ O
about -X- _ O
unauthorized -X- _ O
transaction -X- _ O
fast -X- _ O
forward -X- _ O
one -X- _ O
day -X- _ O
A -X- _ O
representative -X- _ O
contacts -X- _ O
me -X- _ O
and -X- _ O
says -X- _ O
they -X- _ O
will -X- _ O
Suspend -X- _ O
my -X- _ O
account -X- _ O
until -X- _ O
I -X- _ O
can -X- _ O
secure -X- _ O
it -X- _ O
and -X- _ O
such -X- _ O
one -X- _ O
day -X- _ O
later -X- _ O
the -X- _ O
dispute -X- _ O
begins -X- _ O
and -X- _ O
I -X- _ O
end -X- _ O
up -X- _ O
winning -X- _ O
it -X- _ O
now -X- _ O
I -X- _ O
messaged -X- _ O
them -X- _ O
and -X- _ O
they -X- _ O
said -X- _ O
they -X- _ O
now -X- _ O
need -X- _ O
me -X- _ O
to -X- _ O
provide -X- _ O
my -X- _ O
I.D -X- _ O
and -X- _ O
such -X- _ O
to -X- _ O
have -X- _ O
my -X- _ O
account -X- _ O
unsuspended -X- _ O
( -X- _ O
note -X- _ O
I -X- _ O
don't -X- _ O
have -X- _ O
any -X- _ O
of -X- _ O
this -X- _ O
atm -X- _ O
XXXX -X- _ O
and -X- _ O
when -X- _ O
I -X- _ O
check -X- _ O
why -X- _ O
I -X- _ O
was -X- _ O
suspended -X- _ O
it -X- _ O
says -X- _ O
I'm -X- _ O
in -X- _ O
violation -X- _ O
when -X- _ O
